198.235.24.82 - - [25/May/2026:00:02:22 +0000] "GET / HTTP/1.1" 401 139
127.0.0.1 - - [25/May/2026:12:34:37 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 64
127.0.0.1 - - [25/May/2026:12:34:44 +0000] "OPTIONS /authenticate HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2026:12:34:44 +0000] "POST /authenticate HTTP/1.1" 200 181
127.0.0.1 - - [25/May/2026:12:34:45 +0000] "GET /api/admin/dashboard HTTP/1.1" 200 172
127.0.0.1 - - [25/May/2026:12:35:18 +0000] "GET /api/ui/featured HTTP/1.1" 200 62
127.0.0.1 - - [25/May/2026:12:35:18 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 64
127.0.0.1 - - [25/May/2026:12:35:19 +0000] "GET /api/brands HTTP/1.1" 200 159
127.0.0.1 - - [25/May/2026:12:36:41 +0000] "OPTIONS /authenticate HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2026:12:36:42 +0000] "POST /authenticate HTTP/1.1" 200 221
127.0.0.1 - - [25/May/2026:12:36:43 +0000] "GET /api/distributors/declaration-status HTTP/1.1" 200 74
127.0.0.1 - - [25/May/2026:12:36:43 +0000] "GET /api/distributors/dashboard HTTP/1.1" 200 205
127.0.0.1 - - [25/May/2026:12:36:43 +0000] "GET /api/transactions/income?filterColumn=Type&filterOperator=not&filterValue=Payout HTTP/1.1" 200 230
127.0.0.1 - - [25/May/2026:12:36:49 +0000] "GET /api/distributors/genealogy HTTP/1.1" 200 269
143.198.147.214 - - [25/May/2026:12:48:59 +0000] "GET /.env HTTP/1.1" 401 143
176.65.139.66 - - [25/May/2026:12:53:26 +0000] "GET /login HTTP/1.1" 500 153
127.0.0.1 - - [25/May/2026:13:12:15 +0000] "GET /api/admin/dashboard HTTP/1.1" 200 172
176.65.139.66 - - [25/May/2026:13:15:39 +0000] "GET /login HTTP/1.1" 500 153
